Date,Hour,Offense_Type,Beat,Premise,BlockRange,StreetName,Type,Suffix,Number_offenses
1/1/16,8,Theft,2A30,"Road, Street, or Sidewalk",500-599,BAYLAND,AVE,-,1
1/1/16,13,Theft,2A30,Driveway,900-999,DOROTHY,ST,-,1
1/1/16,1,Auto Theft,2A30,"Road, Street, or Sidewalk",900-999,DOROTHY,ST,-,1
1/1/16,9,Auto Theft,2A40,Bar or Night Club Parking Lot,900-999,MEMORIAL HEIGHTS,DR,-,1
1/1/16,23,Theft,2A50,,100-199,YALE,-,-,1
1/1/16,9,Theft,2A50,"Parks and Recreation, Zoo, Swimming Pool",3600-3699,WILLIA,ST,-,1
1/1/16,9,Theft,2A50,Bar or Night Club,4700-4799,NETT,ST,-,1
1/1/16,0,Theft,2A50,Bar or Night Club Parking Lot,4600-4699,NETT,-,-,1
1/1/16,2,Theft,2A50,"Road, Street, or Sidewalk",5100-5199,WASHINGTON,AVE,-,1
1/1/16,14,Theft,2A60,"Road, Street, or Sidewalk",1400-1499,NASHUA,-,-,1
1/1/16,22,Theft,3B10,Service or Gas Station,12100-12199,NORTHWEST,FWY,-,1
1/1/16,20,Rape,3B10,"Hotel, Motel, Inn, Etc.",4800-4899,34TH,ST,W,1
1/1/16,8,Auto Theft,3B10,Apartment Parking Lot,4300-4399,SHERWOOD,LN,-,1
1/1/16,2,Burglary,3B40,"Laundry, Dry Cleaners, Washaterias",3800-3899,SHEPHERD,DR,N,1
1/1/16,10,Theft,3B40,Residence or House,4500-4599,OXFORD,ST,-,1
1/1/16,9,Theft,3B50,Restaurant or Cafeteria Parking Lot,4400-4499,NORTH,FWY,-,1
1/1/16,13,Theft,3B50,Miscellaneous Business (Non-Specific),4400-4499,NORTH,FWY,-,1
1/1/16,21,Aggravated Assault,3B50,Residence or House,7200-7299,FARNSWORTH,-,-,1
1/1/16,14,Theft,3B50,Department or Discount Store,4400-4499,NORTH,FWY,-,1
1/1/16,19,Theft,4F10,"Road, Street, or Sidewalk",9600-9699,PANOLA,WAY,-,1
1/1/16,12,Theft,4F20,Grocery Store or Supermarket,2300-2399,GESSNER,DR,-,1
1/1/16,13,Theft,4F30,Apartment Parking Lot,1800-1899,BARKER CYPRESS,RD,-,1
1/1/16,14,Auto Theft,4F30,Restaurant or Cafeteria Parking Lot,1200-1299,SH 6 SERVICE,-,N,1
1/1/16,23,Aggravated Assault,5F10,Apartment,1800-1899,THONIG,-,-,1
1/1/16,23,Theft,5F10,Strip Business Center Parking Lot,7600-7699,KATY,FWY,-,1
1/1/16,12,Theft,5F10,"Road, Street, or Sidewalk",1800-1899,WIRT,RD,-,1
1/1/16,0,Aggravated Assault,5F10,Bar or Night Club,7600-7699,KATY,FWY,-,1
1/1/16,2,Burglary,5F20,Residence or House,8800-8899,THEYSEN,DR,-,1
1/1/16,6,Auto Theft,5F20,Apartment Parking Lot,8700-8799,HAMMERLY,-,-,1
1/1/16,13,Theft,5F20,Apartment,1200-1299,BLALOCK,RD,-,1
1/1/16,23,Robbery,5F20,Apartment Parking Lot,1100-1199,BLALOCK,RD,-,1
1/1/16,22,Theft,5F20,Driveway,2800-2899,SOWAY,-,-,1
1/1/16,15,Robbery,5F30,"Road, Street, or Sidewalk",5800-5899,HOLLISTER,RD,-,1
1/1/16,16,Theft,5F30,Restaurant or Cafeteria Parking Lot,7600-7699,TIDWELL,RD,-,1
1/1/16,17,Burglary,5F30,Apartment,7900-7999,GROW,-,-,1
1/1/16,11,Theft,5F30,Restaurant or Cafeteria Parking Lot,12800-12899,NORTHWEST,FWY,-,1
1/1/16,8,Burglary,5F30,Apartment,8000-8099,TIDWELL,RD,W,1
1/1/16,0,Theft,5F30,Other Parking Lot,12900-12999,NORTHWEST,FWY,-,1
1/1/16,13,Theft,5F40,Mall Parking Lot,7900-7999,FM 1960,RD,-,1
1/1/16,12,Theft,5F40,Miscellaneous Business (Non-Specific),17100-17199,TOMBALL,PKWY,-,1
1/1/16,18,Theft,5F40,Department or Discount Store,7900-7999,FM 1960,-,W,1
1/1/16,19,Burglary,5F40,Apartment,8300-8399,WILLOW PLACE,DR,-,1
1/1/16,22,Theft,6B10,Grocery Store or Supermarket,6700-6799,AIRLINE,DR,-,1
1/1/16,14,Theft,6B10,Vehicle/Auto Sales/Lease/Auto Parts Store,7100-7199,AIRLINE,DR,-,1
1/1/16,3,Aggravated Assault,6B10,Apartment,200-299,ROSAMOND,-,-,1
1/1/16,4,Aggravated Assault,6B20,Residence or House,6500-6599,T C JESTER,BLVD,-,3
1/1/16,0,Aggravated Assault,6B20,Residence or House,2400-2499,DESOTO,-,-,2
1/1/16,23,Theft,6B20,Residence or House,1200-1299,PINEMONT,-,-,1
1/1/16,15,Theft,6B30,"Road, Street, or Sidewalk",8000-8099,ANTOINE,DR,-,1
1/1/16,18,Theft,6B30,Apartment Parking Lot,5500-5599,HOLLY VIEW,DR,-,1
1/1/16,4,Aggravated Assault,6B30,Apartment,6400-6499,ANTOINE,DR,-,1
1/1/16,0,Aggravated Assault,6B40,Apartment,8500-8599,WHEATLEY,-,-,1
1/1/16,2,Burglary,6B40,Apartment,700-799,LITTLE YORK,RD,W,1
1/1/16,12,Robbery,6B40,Strip Business Center Parking Lot,600-699,GULF BANK,RD,W,1
1/1/16,10,Theft,6B40,Driveway,9300-9399,SUNNYWOOD,DR,-,1
1/1/16,13,Aggravated Assault,6B40,Apartment Parking Lot,1400-1499,GULF BANK,RD,W,3
1/1/16,14,Aggravated Assault,6B40,Convenience Store Parking Lot,8000-8099,DE PRIEST,ST,-,1
1/1/16,23,Burglary,6B60,Vacant Building (Commercial),1000-1099,RANKIN,-,W,1
1/1/16,23,Burglary,6B60,Apartment,13000-13099,NORTHBOROUGH,DR,-,1
1/1/16,21,Auto Theft,6B60,Mall Parking Lot,12300-12399,GREENSPOINT,DR,-,1
